	product_x	color	size	material	received_date	shipment_date_required	product_y	customer	quantity
19	ABS 04-CONT. LT.10 50g	Bianco	50g	ABS 04	2023-08-28	2023-09-27	ABS 04-LT.1 50g	ACETIFICIO ANDREA MILANO SRL	88.0
20	ABS 04-CONT. LT.5 50g	Bianco	50g	ABS 04	2023-02-23	2023-05-24	ABS 04-LT.10 50g	PLASTICHEM SRL	120.0
21	ABS 04-CONT. LT.5 50g	Bianco	50g	ABS 04	2023-02-26	2023-03-28	ABS 04-LT.1 50g	AMBROSIO VETRI SOC. COOP.	116.0
22	ABS 04-CONT. LT.5 50g	Bianco	50g	ABS 04	2023-04-22	2023-05-22	ABS 04-LT.1 50g	PLASTICHEMICAL SPA	78.0
23	ABS 04-CONT. LT.5 50g	Bianco	50g	ABS 04	2023-06-11	2023-07-11	ABS 04-LT.2 50g	PLASTICA INDUSTRIALE SRL	24.0
24	ABS 04-CONT. LT.5 50g	Bianco	50g	ABS 04	2023-07-07	2023-07-14	ABS 04-LT.2 50g	CHEMPRODIE SRL	82.0
25	ABS 04-CONT. LT.5 50g	Bianco	50g	ABS 04	2023-07-26	2023-08-02	ABS 04-LT.5 50g	CHEMPRODIE SRL	28.0
26	ABS 04-CONT. LT.5 50g	Bianco	50g	ABS 04	2023-08-28	2023-09-27	ABS 04-LT.1 50g	ACETIFICIO ANDREA MILANO SRL	88.0
27	ABS 04-CONT. LT.1 50g	Nero	50g	ABS 04	2023-01-09	2023-04-09	ABS 04-LT.5 50g	PLASTICHEM SRL	4.0
28	ABS 04-CONT. LT.1 50g	Nero	50g	ABS 04	2023-02-01	2023-05-02	ABS 04-LT.10 50g	AMBROSIO VETRI SOC. COOP.	67.0
29	ABS 04-CONT. LT.1 50g	Nero	50g	ABS 04	2023-02-19	2023-05-20	ABS 04-LT.5 50g	CHEMPRODIE SRL	47.0
30	ABS 04-CONT. LT.1 50g	Nero	50g	ABS 04	2023-08-09	2023-09-08	ABS 04-LT.10 50g	CHEMPRODIE SRL	16.0
31	ABS 04-CONT. LT.10 50g	Nero	50g	ABS 04	2023-01-09	2023-04-09	ABS 04-LT.5 50g	PLASTICHEM SRL	4.0
32	ABS 04-CONT. LT.10 50g	Nero	50g	ABS 04	2023-02-01	2023-05-02	ABS 04-LT.10 50g	AMBROSIO VETRI SOC. COOP.	67.0
33	ABS 04-CONT. LT.10 50g	Nero	50g	ABS 04	2023-02-19	2023-05-20	ABS 04-LT.5 50g	CHEMPRODIE SRL	47.0
34	ABS 04-CONT. LT.10 50g	Nero	50g	ABS 04	2023-08-09	2023-09-08	ABS 04-LT.10 50g	CHEMPRODIE SRL	16.0
35		Nero	50g	ABS 04	2023-01-09	2023-04-09	ABS 04-LT.5 50g	PLASTICHEM SRL	4.0
36		Nero	50g	ABS 04	2023-02-01	2023-05-02	ABS 04-LT.10 50g	AMBROSIO VETRI SOC. COOP.	67.0
37		Nero	50g	ABS 04	2023-02-19	2023-05-20	ABS 04-LT.5 50g	CHEMPRODIE SRL	47.0
38		Nero	50g	ABS 04	2023-08-09	2023-09-08	ABS 04-LT.10 50g	CHEMPRODIE SRL	16.0
39	ABS 04-CONT. LT.5 50g	Nero	50g	ABS 04	2023-01-09	2023-04-09	ABS 04-LT.5 50g	PLASTICHEM SRL	4.0
40	ABS 04-CONT. LT.5 50g	Nero	50g	ABS 04	2023-02-01	2023-05-02	ABS 04-LT.10 50g	AMBROSIO VETRI SOC. COOP.	67.0
41	ABS 04-CONT. LT.5 50g	Nero	50g	ABS 04	2023-02-19	2023-05-20	ABS 04-LT.5 50g	CHEMPRODIE SRL	47.0
42	ABS 04-CONT. LT.5 50g	Nero	50g	ABS 04	2023-08-09	2023-09-08	ABS 04-LT.10 50g	CHEMPRODIE SRL	16.0
43	ABS 04-CONT. LT.1 55g	Nero	55g	ABS 04	2023-02-04	2023-02-11	ABS 04-LT.1 55g	PLASTICHEM SRL	92.0
44	ABS 04-CONT. LT.1 55g	Nero	55g	ABS 04	2023-08-07	2023-11-05	ABS 04-LT.5 55g	PLASTICHEM SRL	47.0
45	ABS 04-CONT. LT.5 55g	Nero	55g	ABS 04	2023-02-04	2023-02-11	ABS 04-LT.1 55g	PLASTICHEM SRL	92.0
46	ABS 04-CONT. LT.5 55g	Nero	55g	ABS 04	2023-08-07	2023-11-05	ABS 04-LT.5 55g	PLASTICHEM SRL	47.0
47	ABS 04-CONT. LT.1 55g	Rosso	55g	ABS 04	2023-01-08	2023-01-15	ABS 04-LT.1 55g	ACETIFICIO ANDREA MILANO SRL	100.0
48	ABS 04-CONT. LT.1 55g	Rosso	55g	ABS 04	2023-03-10	2023-03-17	ABS 04-LT.1 55g	AMBROSIO VETRI SOC. COOP.	101.0
49	ABS 04-CONT. LT.1 55g	Rosso	55g	ABS 04	2023-04-15	2023-05-15	ABS 04-LT.2 55g	SINTETICPLAST SPA	37.0
50	ABS 04-CONT. LT.1 55g	Rosso	55g	ABS 04	2023-06-08	2023-09-06	ABS 04-LT.1 55g	PLASTICA INDUSTRIALE SRL	112.0
51	ABS 04-CONT. LT.1 55g	Rosso	55g	ABS 04	2023-06-08	2023-09-06	ABS 04-LT.10 55g	PLASTICHEM SRL	79.0
52	ABS 04-CONT. LT.1 55g	Rosso	55g	ABS 04	2023-08-06	2023-11-04	ABS 04-LT.1 55g	CHEMPRODIE SRL	50.0
53	ABS 04-CONT. LT.1 55g	Rosso	55g	ABS 04	2023-08-23	2023-09-22	ABS 04-LT.10 55g	AMBROSIO VETRI SOC. COOP.	62.0
54	ABS 04-CONT. LT.5 55g	Rosso	55g	ABS 04	2023-01-08	2023-01-15	ABS 04-LT.1 55g	ACETIFICIO ANDREA MILANO SRL	100.0
55	ABS 04-CONT. LT.5 55g	Rosso	55g	ABS 04	2023-03-10	2023-03-17	ABS 04-LT.1 55g	AMBROSIO VETRI SOC. COOP.	101.0
56	ABS 04-CONT. LT.5 55g	Rosso	55g	ABS 04	2023-04-15	2023-05-15	ABS 04-LT.2 55g	SINTETICPLAST SPA	37.0
57	ABS 04-CONT. LT.5 55g	Rosso	55g	ABS 04	2023-06-08	2023-09-06	ABS 04-LT.1 55g	PLASTICA INDUSTRIALE SRL	112.0
58	ABS 04-CONT. LT.5 55g	Rosso	55g	ABS 04	2023-06-08	2023-09-06	ABS 04-LT.10 55g	PLASTICHEM SRL	79.0
59	ABS 04-CONT. LT.5 55g	Rosso	55g	ABS 04	2023-08-06	2023-11-04	ABS 04-LT.1 55g	CHEMPRODIE SRL	50.0
60	ABS 04-CONT. LT.5 55g	Rosso	55g	ABS 04	2023-08-23	2023-09-22	ABS 04-LT.10 55g	AMBROSIO VETRI SOC. COOP.	62.0
61	ABS 04-CONT. LT.1 55g	Bianco	55g	ABS 04	2023-01-11	2023-04-11	ABS 04-LT.2 55g	PLASTICHEMICAL SPA	63.0
62	ABS 04-CONT. LT.1 55g	Bianco	55g	ABS 04	2023-02-21	2023-05-22	ABS 04-LT.1 55g	POLIMERI ITALIANI SRL	14.0
63	ABS 04-CONT. LT.1 55g	Bianco	55g	ABS 04	2023-04-22	2023-05-22	ABS 04-LT.10 55g	SINTETICPLAST SPA	18.0
64	ABS 04-CONT. LT.1 55g	Bianco	55g	ABS 04	2023-05-05	2023-08-03	ABS 04-LT.1 55g	POLIMERI ITALIANI SRL	3.0
65		Bianco	55g	ABS 04	2023-01-11	2023-04-11	ABS 04-LT.2 55g	PLASTICHEMICAL SPA	63.0
66		Bianco	55g	ABS 04	2023-02-21	2023-05-22	ABS 04-LT.1 55g	POLIMERI ITALIANI SRL	14.0
67		Bianco	55g	ABS 04	2023-04-22	2023-05-22	ABS 04-LT.10 55g	SINTETICPLAST SPA	18.0
68		Bianco	55g	ABS 04	2023-05-05	2023-08-03	ABS 04-LT.1 55g	POLIMERI ITALIANI SRL	3.0
69	ABS 04-CONT. LT.2 55g	Bianco	55g	ABS 04	2023-01-11	2023-04-11	ABS 04-LT.2 55g	PLASTICHEMICAL SPA	63.0
70	ABS 04-CONT. LT.2 55g	Bianco	55g	ABS 04	2023-02-21	2023-05-22	ABS 04-LT.1 55g	POLIMERI ITALIANI SRL	14.0
71	ABS 04-CONT. LT.2 55g	Bianco	55g	ABS 04	2023-04-22	2023-05-22	ABS 04-LT.10 55g	SINTETICPLAST SPA	18.0
72	ABS 04-CONT. LT.2 55g	Bianco	55g	ABS 04	2023-05-05	2023-08-03	ABS 04-LT.1 55g	POLIMERI ITALIANI SRL	3.0
73	ABS 04-CONT. LT.5 55g	Bianco	55g	ABS 04	2023-01-11	2023-04-11	ABS 04-LT.2 55g	PLASTICHEMICAL SPA	63.0
74	ABS 04-CONT. LT.5 55g	Bianco	55g	ABS 04	2023-02-21	2023-05-22	ABS 04-LT.1 55g	POLIMERI ITALIANI SRL	14.0
75	ABS 04-CONT. LT.5 55g	Bianco	55g	ABS 04	2023-04-22	2023-05-22	ABS 04-LT.10 55g	SINTETICPLAST SPA	18.0
76	ABS 04-CONT. LT.5 55g	Bianco	55g	ABS 04	2023-05-05	2023-08-03	ABS 04-LT.1 55g	POLIMERI ITALIANI SRL	3.0
77	ABS 04-CONT. LT.1 55g	Blu	55g	ABS 04					
78	ABS 04-CONT. LT.10 55g	Blu	55g	ABS 04					
79	ABS 04-CONT. LT.1 60g	Verde	60g	ABS 04	2023-02-13	2023-03-15	ABS 04-LT.1 60g	PLASTICHEMICAL SPA	70.0
80	ABS 04-CONT. LT.1 60g	Verde	60g	ABS 04	2023-04-06	2023-04-13	ABS 04-LT.1 60g	POLIMERI ITALIANI SRL	42.0
81	ABS 04-CONT. LT.1 60g	Verde	60g	ABS 04	2023-06-08	2023-09-06	ABS 04-LT.10 60g	PLASTICHEMICAL SPA	8.0
82	ABS 04-CONT. LT.1 60g	Verde	60g	ABS 04	2023-07-03	2023-08-02	ABS 04-LT.10 60g	PLASTICHEM SRL	6.0
83	ABS 04-CONT. LT.1 60g	Verde	60g	ABS 04	2023-08-05	2023-11-03	ABS 04-LT.2 60g	ACETIFICIO ANDREA MILANO SRL	110.0
84	ABS 04-CONT. LT.1 60g	Verde	60g	ABS 04	2023-09-04	2023-09-11	ABS 04-LT.10 60g	POLIMERI ITALIANI SRL	94.0
85	ABS 04-CONT. LT.10 60g	Verde	60g	ABS 04	2023-02-13	2023-03-15	ABS 04-LT.1 60g	PLASTICHEMICAL SPA	70.0
86	ABS 04-CONT. LT.10 60g	Verde	60g	ABS 04	2023-04-06	2023-04-13	ABS 04-LT.1 60g	POLIMERI ITALIANI SRL	42.0
87	ABS 04-CONT. LT.10 60g	Verde	60g	ABS 04	2023-06-08	2023-09-06	ABS 04-LT.10 60g	PLASTICHEMICAL SPA	8.0
88	ABS 04-CONT. LT.10 60g	Verde	60g	ABS 04	2023-07-03	2023-08-02	ABS 04-LT.10 60g	PLASTICHEM SRL	6.0
89	ABS 04-CONT. LT.10 60g	Verde	60g	ABS 04	2023-08-05	2023-11-03	ABS 04-LT.2 60g	ACETIFICIO ANDREA MILANO SRL	110.0
90	ABS 04-CONT. LT.10 60g	Verde	60g	ABS 04	2023-09-04	2023-09-11	ABS 04-LT.10 60g	POLIMERI ITALIANI SRL	94.0
91	ABS 04-CONT. LT.1 60g	Blu	60g	ABS 04					
92	ABS 04-CONT. LT.10 60g	Blu	60g	ABS 04					
93	ABS 04-CONT. LT.2 60g	Blu	60g	ABS 04					
94	ABS 04-CONT. LT.1 65g	Blu	65g	ABS 04					
95	ABS 04-CONT. LT.10 65g	Blu	65g	ABS 04					
96	ABS 04-CONT. LT.2 65g	Blu	65g	ABS 04					
97	ABS 04-CONT. LT.1 70g	Blu	70g	ABS 04					
98	ABS 04-CONT. LT.10 70g	Blu	70g	ABS 04					
99	ABS 04-CONT. LT.1 70g	Nero	70g	ABS 04	2023-02-10	2023-02-17	ABS 04-LT.10 70g	ACETIFICIO ANDREA MILANO SRL	85.0
100	ABS 04-CONT. LT.1 70g	Nero	70g	ABS 04	2023-04-20	2023-05-20	ABS 04-LT.1 70g	PLASTICHEM SRL	33.0
101	ABS 04-CONT. LT.1 70g	Nero	70g	ABS 04	2023-05-02	2023-07-31	ABS 04-LT.5 70g	ACETIFICIO ANDREA MILANO SRL	23.0
102	ABS 04-CONT. LT.1 70g	Nero	70g	ABS 04	2023-09-18	2023-10-18	ABS 04-LT.10 70g	POLIMERI ITALIANI SRL	41.0
103	ABS 04-CONT. LT.2 70g	Nero	70g	ABS 04	2023-02-10	2023-02-17	ABS 04-LT.10 70g	ACETIFICIO ANDREA MILANO SRL	85.0
104	ABS 04-CONT. LT.2 70g	Nero	70g	ABS 04	2023-04-20	2023-05-20	ABS 04-LT.1 70g	PLASTICHEM SRL	33.0
105	ABS 04-CONT. LT.2 70g	Nero	70g	ABS 04	2023-05-02	2023-07-31	ABS 04-LT.5 70g	ACETIFICIO ANDREA MILANO SRL	23.0
106	ABS 04-CONT. LT.2 70g	Nero	70g	ABS 04	2023-09-18	2023-10-18	ABS 04-LT.10 70g	POLIMERI ITALIANI SRL	41.0
107		Rosso	70g	ABS 04	2023-02-23	2023-03-25	ABS 04-LT.5 70g	PLASTICHEMICAL SPA	43.0
108	ABS 04-CONT. LT.10 70g	Rosso	70g	ABS 04	2023-02-23	2023-03-25	ABS 04-LT.5 70g	PLASTICHEMICAL SPA	43.0
109	ABS 04-CONT. LT.2 70g	Rosso	70g	ABS 04	2023-02-23	2023-03-25	ABS 04-LT.5 70g	PLASTICHEMICAL SPA	43.0
110	ABS 04-CONT. LT.1 70g	Verde	70g	ABS 04	2023-03-18	2023-04-17	ABS 04-LT.1 70g	CHEMPRODIE SRL	4.0
111	ABS 04-CONT. LT.1 70g	Verde	70g	ABS 04	2023-08-24	2023-08-31	ABS 04-LT.1 70g	PLASTICHEM SRL	29.0
112	ABS 04-CONT. LT.1 70g	Verde	70g	ABS 04	2023-09-05	2023-10-05	ABS 04-LT.5 70g	SINTETICPLAST SPA	19.0
113	ABS 04-CONT. LT.10 70g	Verde	70g	ABS 04	2023-03-18	2023-04-17	ABS 04-LT.1 70g	CHEMPRODIE SRL	4.0
114	ABS 04-CONT. LT.10 70g	Verde	70g	ABS 04	2023-08-24	2023-08-31	ABS 04-LT.1 70g	PLASTICHEM SRL	29.0
115	ABS 04-CONT. LT.10 70g	Verde	70g	ABS 04	2023-09-05	2023-10-05	ABS 04-LT.5 70g	SINTETICPLAST SPA	19.0
116	ABS 04-CONT. LT.2 70g	Verde	70g	ABS 04	2023-03-18	2023-04-17	ABS 04-LT.1 70g	CHEMPRODIE SRL	4.0
117	ABS 04-CONT. LT.2 70g	Verde	70g	ABS 04	2023-08-24	2023-08-31	ABS 04-LT.1 70g	PLASTICHEM SRL	29.0
118	ABS 04-CONT. LT.2 70g	Verde	70g	ABS 04	2023-09-05	2023-10-05	ABS 04-LT.5 70g	SINTETICPLAST SPA	19.0
119	ABS 04-CONT. LT.1 70g	Bianco	70g	ABS 04	2023-03-22	2023-03-29	ABS 04-LT.2 70g	POLIMERI ITALIANI SRL	95.0
120	ABS 04-CONT. LT.1 70g	Bianco	70g	ABS 04	2023-04-10	2023-07-09	ABS 04-LT.10 70g	POLIMERI ITALIANI SRL	50.0
121	ABS 04-CONT. LT.1 70g	Bianco	70g	ABS 04	2023-06-14	2023-07-14	ABS 04-LT.1 70g	AMBROSIO VETRI SOC. COOP.	84.0
122	ABS 04-CONT. LT.1 70g	Bianco	70g	ABS 04	2023-07-01	2023-07-31	ABS 04-LT.2 70g	PLASTICA INDUSTRIALE SRL	90.0
123	ABS 04-CONT. LT.1 70g	Bianco	70g	ABS 04	2023-07-22	2023-07-29	ABS 04-LT.5 70g	AMBROSIO VETRI SOC. COOP.	80.0
124	ABS 04-CONT. LT.10 50g	Blu	50g	ABS 04					
125	ABS 04-CONT. LT.2 50g	Blu	50g	ABS 04					
126	ABS 04-CONT. LT.10 60g	Rosso	60g	ABS 04	2023-01-19	2023-02-18	ABS 04-LT.1 60g	PLASTICHEM SRL	9.0
127	ABS 04-CONT. LT.10 60g	Rosso	60g	ABS 04	2023-03-08	2023-04-07	ABS 04-LT.2 60g	AMBROSIO VETRI SOC. COOP.	11.0
128	ABS 04-CONT. LT.10 60g	Rosso	60g	ABS 04	2023-04-06	2023-04-13	ABS 04-LT.10 60g	PLASTICHEM SRL	52.0
129	ABS 04-CONT. LT.10 60g	Rosso	60g	ABS 04	2023-05-01	2023-05-08	ABS 04-LT.2 60g	POLIMERI ITALIANI SRL	32.0
130	ABS 04-CONT. LT.10 60g	Rosso	60g	ABS 04	2023-05-06	2023-05-13	ABS 04-LT.5 60g	POLIMERI ITALIANI SRL	41.0
131	ABS 04-CONT. LT.10 60g	Rosso	60g	ABS 04	2023-05-09	2023-08-07	ABS 04-LT.2 60g	PLASTICHEMICAL SPA	65.0
132	ABS 04-CONT. LT.10 60g	Rosso	60g	ABS 04	2023-05-11	2023-06-10	ABS 04-LT.1 60g	POLIMERI ITALIANI SRL	37.0
133	ABS 04-CONT. LT.10 60g	Rosso	60g	ABS 04	2023-06-08	2023-06-15	ABS 04-LT.1 60g	SINTETICPLAST SPA	19.0
134	ABS 04-CONT. LT.10 60g	Rosso	60g	ABS 04	2023-06-09	2023-06-16	ABS 04-LT.5 60g	PLASTICHEMICAL SPA	79.0
135	ABS 04-CONT. LT.10 60g	Rosso	60g	ABS 04	2023-08-14	2023-11-12	ABS 04-LT.5 60g	PLASTIMANIA SNC	79.0
136	ABS 04-CONT. LT.10 60g	Rosso	60g	ABS 04	2023-09-08	2023-09-15	ABS 04-LT.10 60g	PLASTICHEMICAL SPA	108.0
137	ABS 04-CONT. LT.10 60g	Nero	60g	ABS 04	2023-01-06	2023-01-13	ABS 04-LT.5 60g	PLASTICHEMICAL SPA	83.0
138	ABS 04-CONT. LT.10 60g	Nero	60g	ABS 04	2023-02-24	2023-03-26	ABS 04-LT.1 60g	ACETIFICIO ANDREA MILANO SRL	71.0
139	ABS 04-CONT. LT.10 60g	Nero	60g	ABS 04	2023-04-05	2023-05-05	ABS 04-LT.2 60g	ACETIFICIO ANDREA MILANO SRL	4.0
140	ABS 04-CONT. LT.10 60g	Nero	60g	ABS 04	2023-05-02	2023-06-01	ABS 04-LT.2 60g	PLASTICHEMICAL SPA	9.0
141	ABS 04-CONT. LT.10 60g	Nero	60g	ABS 04	2023-06-17	2023-06-24	ABS 04-LT.10 60g	PLASTIMANIA SNC	57.0
142	ABS 04-CONT. LT.10 60g	Nero	60g	ABS 04	2023-07-17	2023-10-15	ABS 04-LT.10 60g	PLASTICA INDUSTRIALE SRL	114.0
143	ABS 04-CONT. LT.10 60g	Nero	60g	ABS 04	2023-08-13	2023-11-11	ABS 04-LT.5 60g	SINTETICPLAST SPA	75.0
144	ABS 04-CONT. LT.2 60g	Nero	60g	ABS 04	2023-01-06	2023-01-13	ABS 04-LT.5 60g	PLASTICHEMICAL SPA	83.0
145	ABS 04-CONT. LT.2 60g	Nero	60g	ABS 04	2023-02-24	2023-03-26	ABS 04-LT.1 60g	ACETIFICIO ANDREA MILANO SRL	71.0
146	ABS 04-CONT. LT.2 60g	Nero	60g	ABS 04	2023-04-05	2023-05-05	ABS 04-LT.2 60g	ACETIFICIO ANDREA MILANO SRL	4.0
147	ABS 04-CONT. LT.2 60g	Nero	60g	ABS 04	2023-05-02	2023-06-01	ABS 04-LT.2 60g	PLASTICHEMICAL SPA	9.0
148	ABS 04-CONT. LT.2 60g	Nero	60g	ABS 04	2023-06-17	2023-06-24	ABS 04-LT.10 60g	PLASTIMANIA SNC	57.0
149	ABS 04-CONT. LT.2 60g	Nero	60g	ABS 04	2023-07-17	2023-10-15	ABS 04-LT.10 60g	PLASTICA INDUSTRIALE SRL	114.0
150	ABS 04-CONT. LT.2 60g	Nero	60g	ABS 04	2023-08-13	2023-11-11	ABS 04-LT.5 60g	SINTETICPLAST SPA	75.0
151	ABS 04-CONT. LT.10 65g	Bianco	65g	ABS 04	2023-01-10	2023-04-10	ABS 04-LT.10 65g	PLASTICHEMICAL SPA	85.0
152	ABS 04-CONT. LT.10 65g	Bianco	65g	ABS 04	2023-03-04	2023-04-03	ABS 04-LT.1 65g	POLIMERI ITALIANI SRL	5.0
153	ABS 04-CONT. LT.10 65g	Bianco	65g	ABS 04	2023-06-18	2023-06-25	ABS 04-LT.1 65g	PLASTICHEMICAL SPA	59.0
154	ABS 04-CONT. LT.10 65g	Bianco	65g	ABS 04	2023-07-04	2023-08-03	ABS 04-LT.1 65g	SINTETICPLAST SPA	5.0
155	ABS 04-CONT. LT.2 65g	Bianco	65g	ABS 04	2023-01-10	2023-04-10	ABS 04-LT.10 65g	PLASTICHEMICAL SPA	85.0
156	ABS 04-CONT. LT.2 65g	Bianco	65g	ABS 04	2023-03-04	2023-04-03	ABS 04-LT.1 65g	POLIMERI ITALIANI SRL	5.0
157	ABS 04-CONT. LT.2 65g	Bianco	65g	ABS 04	2023-06-18	2023-06-25	ABS 04-LT.1 65g	PLASTICHEMICAL SPA	59.0
158	ABS 04-CONT. LT.2 65g	Bianco	65g	ABS 04	2023-07-04	2023-08-03	ABS 04-LT.1 65g	SINTETICPLAST SPA	5.0
159	ABS 04-CONT. LT.10 65g	Nero	65g	ABS 04	2023-03-06	2023-04-05	ABS 04-LT.1 65g	PLASTIMANIA SNC	12.0
160	ABS 04-CONT. LT.10 65g	Nero	65g	ABS 04	2023-03-23	2023-03-30	ABS 04-LT.10 65g	AMBROSIO VETRI SOC. COOP.	16.0
161	ABS 04-CONT. LT.10 65g	Nero	65g	ABS 04	2023-05-11	2023-08-09	ABS 04-LT.10 65g	PLASTICHEMICAL SPA	52.0
162	ABS 04-CONT. LT.10 65g	Nero	65g	ABS 04	2023-07-25	2023-08-01	ABS 04-LT.5 65g	INDUSTRIE PLASTICHE SRL	59.0
163	ABS 04-CONT. LT.10 65g	Nero	65g	ABS 04	2023-08-13	2023-11-11	ABS 04-LT.5 65g	SINTETICPLAST SPA	48.0
164	ABS 04-CONT. LT.2 65g	Nero	65g	ABS 04	2023-03-06	2023-04-05	ABS 04-LT.1 65g	PLASTIMANIA SNC	12.0
165	ABS 04-CONT. LT.2 65g	Nero	65g	ABS 04	2023-03-23	2023-03-30	ABS 04-LT.10 65g	AMBROSIO VETRI SOC. COOP.	16.0
166	ABS 04-CONT. LT.2 65g	Nero	65g	ABS 04	2023-05-11	2023-08-09	ABS 04-LT.10 65g	PLASTICHEMICAL SPA	52.0
167	ABS 04-CONT. LT.2 65g	Nero	65g	ABS 04	2023-07-25	2023-08-01	ABS 04-LT.5 65g	INDUSTRIE PLASTICHE SRL	59.0
168	ABS 04-CONT. LT.2 65g	Nero	65g	ABS 04	2023-08-13	2023-11-11	ABS 04-LT.5 65g	SINTETICPLAST SPA	48.0
169	ABS 04-CONT. LT.10 65g	Verde	65g	ABS 04	2023-02-04	2023-05-05	ABS 04-LT.10 65g	INDUSTRIE PLASTICHE SRL	44.0
170	ABS 04-CONT. LT.10 65g	Verde	65g	ABS 04	2023-02-21	2023-05-22	ABS 04-LT.2 65g	PLASTICHEMICAL SPA	46.0
171	ABS 04-CONT. LT.10 65g	Verde	65g	ABS 04	2023-06-14	2023-06-21	ABS 04-LT.1 65g	INDUSTRIE PLASTICHE SRL	98.0
172	ABS 04-CONT. LT.10 65g	Verde	65g	ABS 04	2023-08-25	2023-09-24	ABS 04-LT.10 65g	SINTETICPLAST SPA	119.0
173	ABS 04-CONT. LT.10 65g	Verde	65g	ABS 04	2023-09-07	2023-10-07	ABS 04-LT.2 65g	PLASTICHEMICAL SPA	23.0
174	ABS 04-CONT. LT.2 65g	Verde	65g	ABS 04	2023-02-04	2023-05-05	ABS 04-LT.10 65g	INDUSTRIE PLASTICHE SRL	44.0
175	ABS 04-CONT. LT.2 65g	Verde	65g	ABS 04	2023-02-21	2023-05-22	ABS 04-LT.2 65g	PLASTICHEMICAL SPA	46.0
176	ABS 04-CONT. LT.2 65g	Verde	65g	ABS 04	2023-06-14	2023-06-21	ABS 04-LT.1 65g	INDUSTRIE PLASTICHE SRL	98.0
177	ABS 04-CONT. LT.2 65g	Verde	65g	ABS 04	2023-08-25	2023-09-24	ABS 04-LT.10 65g	SINTETICPLAST SPA	119.0
178	ABS 04-CONT. LT.2 65g	Verde	65g	ABS 04	2023-09-07	2023-10-07	ABS 04-LT.2 65g	PLASTICHEMICAL SPA	23.0
179	ABS 04-CONT. LT.10 70g		70g	ABS 04					
180	ABS 04-CONT. LT.2 55g	Nero		ABS 04					
181	ABS 04-CONT. LT.5 60g	Nero		ABS 04					
182	ABS 04-CONT. LT.5 65g	Nero		ABS 04					
